,0
I'm going to find you and make you regret ever streaming.,0
You deserve to be beaten for saying that!,0
Anyone who supports this streamer should get hurt.,0
"Burn in hell, you pathetic loser!",1
I'll kill you if I ever see you!,1
You better watch your back.,0
I hope you die a painful death.,1
I'm going to make your life a living hell.,0
You should be punched in the face for being so stupid.,0
This world would be better without people like you.,0
You should have been aborted.,0
I can't wait to see you suffer.,0
I wish someone would put you in your place.,0
I'm going to ruin your life.,0
People like you deserve to be tortured.,0
You should just disappear.,0
I'll make sure you regret this.,0
The world would be better off without you.,0
You deserve to be punished severely.,0
You should be locked up for life.,0
"You're such a loser, no wonder no one likes you.",1
"Look at this idiot, trying to play games.",1
"Wow, you're really dumb, aren't you?",1
"Go cry to your mommy, you pathetic baby.",1
You're just a waste of space.,0
Nobody cares about your opinion.,0
Why don't you just quit streaming? You're terrible at it.,0
"You're so ugly, it's painful to watch.",1
No one will ever love you.,0
You're a total failure.,1
Do everyone a favor and delete your account.,0
You're the worst streamer I've ever seen.,0
Go back to the hole you crawled out of.,0
"You're a joke, and so is your stream.",1
"Everyone's laughing at you, not with you.",0
"You're such a try-hard, and still failing.",0
No one would care if you disappeared.,0
You're a disgrace to the gaming community.,0
Why do you even bother? You're worthless.,0
Everyone knows you're just a loser.,1
"Nice shirt, but it would look better on my bedroom floor.",0
Why don't you show us a little more skin?,0
I'd love to see what's under that outfit.,0
"Come on, give us a little peek.",0
You know you want to take it off for us.,0
I bet you're wild in bed.,0
You're only popular because you're hot.,0
Why don't you do a little dance for us?,0
I want to see you strip.,1
"You're just here to tease us, aren't you?",0
Stop pretending you don't like the attention.,0
I'd pay to see you in something sexier.,0
You must get a lot of offers with a body like that.,0
Why are you wasting your looks on gaming?,0
You should be doing something more revealing.,0
"I'm only here for the view, not your gameplay.",0
You know you want to show more.,0
I'd love to get my hands on you.,0
How much for a private show?,0
You're too hot to be playing games.,0
"You're such a retard, can't believe you messed that up.",1
"Must be hard playing with one hand, huh?",0
Bet you ride the short bus to school.,0
Are you blind or just stupid?,1
You play like someone with a disability.,0
Go back to your special needs class.,0
"You're so slow, must be a mental issue.",0
You need a handicap sticker for your brain.,0
Bet you have a disability check coming in.,0
"You're such a spaz, can't even play properly.",1
Do you have a mental condition or something?,0
Looks like your disability is showing.,0
You're like a cripple trying to run a marathon.,1
"You must be on disability, you can't do anything right.",0
Playing games isn't for people like you.,0
You should stick to things you can handle with your disability.,0
You're just using your disability as an excuse.,0
I bet your disability is the only reason anyone watches.,0
"You're pathetic, hiding behind your disability.",0
"No wonder you're so bad, you must be disabled.",0
"You're probably gay, that's why you suck at this game.",1
Stop acting like such a girl.,0
Only a fag would play like that.,1
"Go back to the kitchen, where you belong.",0
Bet you're just a tranny trying to get attention.,1
You must be into guys if you're playing this badly.,0
Stop being such a pussy.,1
"You're just a girl, no wonder you're terrible.",0
I bet you're just a dude pretending to be a chick.,0
Only lesbians play this game.,0
You play like a sissy.,1
Must be hard being a tranny and playing games.,1
Go back to doing makeup tutorials.,0
You're probably too busy thinking about guys to focus.,0
I bet you're only playing to get guys' attention.,0
"Stop trying to act tough, we know you're just a girl.",0
You must be confused about your gender if you play like that.,0
You're such a fag for playing this game.,1
Girls should stick to games they can actually play.,0
Go back to whatever girly stuff you were doing before.,0
Women shouldn't be allowed to stream.,0
You're too emotional to play this game.,0
"Girls are only good for one thing, and it's not gaming.",0
Why are you even trying? You're just a girl.,0
"Go make a sandwich, that's all you're good for.",0
"No one cares about your opinion, you're a woman.",0
"Women should stick to shopping, not gaming.",0
"You're only here because you're hot, not because you're good.",0
Stop trying to be something you're not. Women can't game.,1
"Bet you're on your period, that's why you're so bad.",0
You're probably here just to find a boyfriend.,0
Women are too weak to be good at this.,0
Why don't you leave the gaming to the men?,0
You're too sensitive to be a gamer.,0
No one wants to hear what a woman has to say.,0
Women shouldn't try to compete with men.,0
Go back to playing with dolls.,0
You're just another dumb girl trying to get attention.,1
Women should stick to what they know: nothing.,0
"No wonder you're so bad, you're just a woman.",0
"Go back to where you came from, we don't need you here.",0
You're probably a terrorist with a name like that.,1
"No wonder you're bad at this game, you're [racial slur].",0
"Stop pretending to be something you're not, you're just a [racial slur].",0
Your kind isn't welcome here.,0
You're probably too busy praying to play properly.,0
You're just another dumb [racial slur] trying to fit in.,0
Bet you can't even speak English properly.,0
"Why don't you go bomb something, [racial slur]?",0
You people are ruining this game.,0
"Go back to selling drugs, that's all you're good for.",0
"You're too dumb to play this game, [racial slur].",1
Bet you're just here to steal our jobs.,0
Why don't you go back to your own country?,0
You're just another illegal trying to fit in.,0
"Go pray to your god, maybe he'll help you play better.",0
You people are all the same: useless.,0
You're just a dirty [racial slur].,1
No one wants to hear from a [racial slur].,0
Your kind doesn't belong in gaming.,0
She gives off major slut vibes.,1
I bet she's a whore off-camera.,1
What a cocktease.,1
You're just a bimbo trying to act smart.,1
Bet she sleeps around to get viewers.,0
She's probably just a cam girl in disguise.,1
She's only popular because she's showing off her tits.,1
"Look at that ass, no wonder people watch.",1
She's a gold-digger for sure.,1
Bet she's just a sugar baby looking for a daddy.,0
That outfit screams slut.,1
She's only here to show off her body.,0
I bet she's had more dicks than dinners.,1
She looks like she belongs in a strip club.,0
She's probably spreading her legs for views.,0
Only fans must be paying her well.,0
I wonder how many guys she's banged to get popular.,0
She's just a slut with a controller.,1
Bet she flashes her boobs for donations.,1
She's nothing but a pair of tits with a mic.,1
